Date,AAPL abnormal returns,AAPL returns
2023-05-26,,
2023-05-30,-0.00029338192883232583,0.010659581907596527
2023-05-31,0.00445228825800365,-0.0002820251037627397
2023-06-01,0.0023502031838927243,0.016022546335066945
2023-06-02,-0.0037851895924123132,0.004775393568990927
2023-06-05,-0.0032075857140517645,-0.0075711253953729685
2023-06-06,-0.004467162089666366,-0.002060335858196427
2023-06-07,0.011066120056403193,-0.007756259904993845
2023-06-08,0.0029047006096927733,0.01546507640721173
2023-06-09,-0.002376348003844897,0.002159823746078704
2023-06-12,-0.004454761308369484,0.015638740424785524
2023-06-13,-0.012670773111124896,-0.002611653218746124
2023-06-14,-0.0068981212632034175,0.003491350161869189
2023-06-15,-0.0011423902735744236,0.011198682211304156
2023-06-16,-0.0035521385628924725,-0.005859880490725833
2023-06-19,,
2023-06-20,,
2023-06-21,0.011982015300602045,-0.0056753030870986265
2023-06-22,0.0072135032056147175,0.016525294494369236
2023-06-23,0.001428859608388748,-0.0017112691134693048
2023-06-26,0.0037808655492240772,-0.007552970101992296
2023-06-27,-0.0009018936786682717,0.015059066345298966
2023-06-28,0.009226268466606912,0.006327780797909854
2023-06-29,0.004583874321388555,0.0017965460390521049
2023-06-30,0.009285208325533095,0.023102510509079632
2023-07-03,-0.0072242853472721125,-0.007784680606965799
2023-07-04,,
2023-07-05,,
2023-07-06,0.010513122445973043,0.002508732153585047
2023-07-07,-0.0031984403551266398,-0.0058912720775532446
2023-07-10,-0.010071535323012719,-0.010855843008916843
2023-07-11,-0.014263134541115698,-0.002810024800285138
2023-07-12,-0.001864715655480742,0.008985550962107736
2023-07-13,-0.013634764654197017,0.004057485357729984
2023-07-14,0.004301334902969023,0.0007872843526774975
2023-07-17,0.008582737466361866,0.017305590274832694
2023-07-18,-0.008171422813802696,-0.0013403255748356546
2023-07-19,0.005884474402098454,0.007071751438550322
2023-07-20,0.009240568763345568,-0.010097391896840224
2023-07-21,-0.002824636111114266,-0.006161665258219817
2023-07-24,0.002431322076489076,0.004220055998181094
2023-07-25,-0.003614754560039195,0.004513593344682265
2023-07-26,0.003776496072808358,0.00454501035536059
2023-07-27,-0.012867953295496979,-0.006580970587644619
2023-07-28,-0.006547810284175223,0.013507921508448373
