Date,ATVI abnormal returns,ATVI returns
2023-05-29,,
2023-05-30,,
2023-05-31,0.0012501804488580111,0.002249441548700437
2023-06-01,-0.004449785917161009,0.0
2023-06-02,-0.002405309207663342,0.003740686573235452
2023-06-05,0.010536997026917521,0.004223556992430044
2023-06-06,-0.007863075468024632,0.0004948158997948315
2023-06-07,0.005625063009267876,-0.004698284697356447
2023-06-08,-0.006663173907085273,-0.005962774620293043
2023-06-09,0.005036681625158559,0.004498883097400874
2023-06-12,-0.01643255865490017,-0.007588960328380967
2023-06-13,-0.00030677883757983075,0.011658522556257545
2023-06-14,0.0006746924754094307,0.006567613738961198
2023-06-15,0.001787605162484834,0.002708279973126615
2023-06-16,0.003572392593433257,0.0063843375315455475
2023-06-19,,
2023-06-20,,
2023-06-21,-0.007556826210964701,-0.01160089089416061
2023-06-22,0.014385110009176133,0.016802576838765182
2023-06-23,-0.0026174844614533384,-0.004860285674927023
2023-06-26,0.01448566385626397,0.018315017973791203
2023-06-27,-0.004519478958010565,0.008752946213226975
2023-06-28,-0.00605618276738561,-0.006299759854982545
2023-06-29,-0.0008121029336565118,-0.006220055652601197
2023-06-30,0.01365890176522977,0.014684655679040981
2023-07-03,-0.009366491943025705,-0.011387979586166441
2023-07-04,,
2023-07-05,,
2023-07-06,0.013197090594345333,-0.0020514757174525666
2023-07-07,-0.008569995015900521,-0.0032647721043495004
2023-07-10,-0.0023713992623956423,0.0032754657535705167
2023-07-11,0.0766786539960946,0.10024185273810393
2023-07-12,-0.019250114735240985,-0.010880293296102295
2023-07-13,-0.010915008987898957,-0.005111100938585023
2023-07-14,0.007582802012630265,0.005919128589208844
2023-07-17,0.03004413980714369,0.0348617675173466
2023-07-18,-0.007537938402069249,-0.005042390573109845
2023-07-19,-0.0054114567748654915,-0.005822740219603828
2023-07-20,0.0033326517218902137,0.0009761818900675401
2023-07-21,0.008644773270977457,-0.004117426044515704
2023-07-24,-0.005515854749964461,0.00696332677780398
2023-07-25,0.002931999346416505,0.0019448978848235488
2023-07-26,-0.008701612243340468,-0.0006470957167693525
2023-07-27,-0.0023630488572110283,-0.005719205673562655
2023-07-28,-0.004684542620186987,0.004232682789579556
